Frame, Time to process, Training Descriptors, Query Descriptors, Matches
177, 0.09538, 5424, 802, 602
178, 0.07746, 5424, 791, 577
179, 0.08520, 5424, 800, 607
180, 0.07649, 5424, 805, 607
181, 0.08406, 5424, 784, 583
182, 0.07515, 5424, 784, 581
183, 0.07693, 5424, 814, 612
184, 0.08209, 5424, 808, 602
185, 0.08875, 5424, 805, 607
186, 0.08241, 5424, 830, 617
187, 0.08334, 5424, 791, 595
188, 0.07753, 5424, 810, 592
189, 0.08618, 5424, 812, 602
190, 0.08490, 5424, 790, 595
191, 0.07748, 5424, 811, 609
192, 0.08314, 5424, 802, 604
193, 0.07807, 5424, 818, 609
194, 0.07977, 5424, 796, 590
195, 0.07833, 5424, 782, 582
196, 0.07972, 5424, 752, 559
197, 0.07436, 5424, 777, 562
198, 0.08008, 5424, 785, 575
199, 0.07419, 5424, 763, 563
200, 0.08107, 5424, 757, 552
