Using SIFT algorithm
Using flann-based matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
65, 0.11394, 0.15681, 0.00079, 0.00689, 3190, 784, 428, 36.53765, 299.76157
66, 0.11987, 0.14140, 0.00062, 0.00317, 3190, 744, 312, 47.23346, 295.92398
67, 0.12596, 0.15891, 0.00069, 0.00486, 3190, 852, 406, 32.72614, 281.70197
68, 0.11624, 0.17466, 0.00101, 0.00882, 3190, 853, 384, 42.72002, 307.14816
69, 0.11805, 0.17540, 0.00071, 0.00272, 3190, 833, 277, 66.05301, 289.78613
70, 0.11615, 0.14669, 0.00060, 0.00331, 3190, 811, 228, 51.80733, 305.17865
71, 0.10886, 0.15614, 0.00068, 0.00395, 3190, 790, 244, 58.13777, 312.42920
72, 0.12092, 0.15055, 0.00071, 0.00850, 3190, 778, 272, 45.01111, 300.15497
73, 0.13168, 0.16422, 0.00302, 0.00389, 3190, 827, 296, 54.29549, 326.00461
74, 0.12664, 0.16305, 0.00062, 0.00457, 3190, 901, 273, 43.32436, 304.21539
75, 0.12597, 0.18425, 0.00066, 0.00371, 3190, 928, 421, 34.68429, 299.67984
76, 0.12444, 0.18698, 0.00066, 0.00393, 3190, 929, 425, 39.34463, 274.25900
77, 0.11183, 0.13881, 0.00063, 0.01330, 3190, 730, 198, 53.73081, 291.05325
78, 0.11024, 0.11337, 0.00058, 0.00960, 3190, 611, 184, 58.63446, 293.20813
79, 0.09838, 0.10857, 0.00062, 0.01185, 3190, 549, 224, 48.17676, 307.04071
80, 0.11757, 0.16205, 0.00089, 0.00540, 3190, 837, 496, 42.29657, 301.53940
81, 0.10604, 0.12639, 0.00059, 0.00250, 3190, 676, 220, 31.78050, 284.95966
82, 0.10826, 0.15291, 0.00062, 0.00195, 3190, 792, 280, 34.39477, 316.38742
83, 0.12387, 0.16444, 0.00068, 0.00440, 3190, 889, 235, 35.67913, 286.71588
84, 0.12631, 0.19086, 0.00074, 0.00254, 3190, 1021, 320, 32.77194, 283.10422
85, 0.12251, 0.17768, 0.00064, 0.00693, 3190, 960, 314, 49.44694, 284.26749
86, 0.12397, 0.18429, 0.00067, 0.00364, 3190, 987, 386, 34.94281, 287.63519
87, 0.11914, 0.16934, 0.00065, 0.00366, 3190, 920, 325, 49.98000, 290.05688
88, 0.11110, 0.15214, 0.00066, 0.00465, 3190, 835, 260, 41.82105, 291.15115
89, 0.10529, 0.13663, 0.00061, 0.00307, 3190, 770, 228, 36.89174, 294.41467
90, 0.11266, 0.14325, 0.00062, 0.00565, 3190, 715, 271, 29.71532, 299.05185
91, 0.10870, 0.11571, 0.00062, 0.01887, 3190, 661, 296, 56.94735, 347.30103
92, 0.10378, 0.13623, 0.00061, 0.01122, 3190, 695, 210, 46.63689, 339.52615
93, 0.10819, 0.12584, 0.00061, 0.00689, 3190, 683, 196, 59.69087, 305.97711
94, 0.09904, 0.12199, 0.00060, 0.00513, 3190, 653, 232, 45.19956, 294.37390
95, 0.10178, 0.13293, 0.00073, 0.00595, 3190, 670, 264, 51.87485, 303.05115
96, 0.10415, 0.11725, 0.00062, 0.00371, 3190, 608, 273, 47.18050, 331.87949
97, 0.10010, 0.11875, 0.00093, 0.00493, 3190, 612, 263, 48.43552, 282.42166
98, 0.09823, 0.11896, 0.00063, 0.00687, 3190, 658, 313, 40.34848, 292.32175
99, 0.10607, 0.13083, 0.00093, 0.01023, 3190, 678, 272, 43.56604, 284.75955
100, 0.10753, 0.13533, 0.00318, 0.00551, 3190, 677, 277, 46.01087, 288.72131
