Using BRISK algorithm
Using flann-based matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
64, 0.01177, 0.17564, 0.00133, 0.05876, 5424, 526, 5424, 61.00000, 222.00000
65, 0.01274, 0.15282, 0.00131, 0.05904, 5424, 537, 5424, 53.00000, 219.00000
66, 0.01128, 0.14499, 0.00132, 0.06497, 5424, 523, 5424, 63.00000, 220.00000
67, 0.01272, 0.16407, 0.00131, 0.05786, 5424, 487, 5424, 59.00000, 242.00000
68, 0.01208, 0.12931, 0.00130, 0.05772, 5424, 460, 5424, 58.00000, 214.00000
69, 0.01256, 0.13798, 0.00135, 0.06181, 5424, 512, 5424, 58.00000, 221.00000
70, 0.01026, 0.14444, 0.00141, 0.05682, 5424, 506, 5424, 64.00000, 223.00000
71, 0.01065, 0.11268, 0.00136, 0.08176, 5424, 344, 5424, 62.00000, 228.00000
72, 0.01078, 0.11400, 0.00136, 0.06993, 5424, 383, 5424, 64.00000, 213.00000
73, 0.01195, 0.10927, 0.00132, 0.06274, 5424, 473, 5424, 54.00000, 219.00000
74, 0.01195, 0.14098, 0.00134, 0.06388, 5424, 462, 5424, 64.00000, 224.00000
75, 0.01194, 0.15660, 0.00200, 0.06925, 5424, 467, 5424, 61.00000, 213.00000
76, 0.01301, 0.17900, 0.00140, 0.06953, 5424, 537, 5424, 63.00000, 222.00000
77, 0.00945, 0.07927, 0.00135, 0.05843, 5424, 249, 5424, 60.00000, 238.00000
78, 0.00621, 0.06540, 0.00155, 0.06227, 5424, 136, 5420, 66.00000, 286.00000
79, 0.00731, 0.06305, 0.00132, 0.06095, 5424, 192, 5424, 63.00000, 280.00000
80, 0.00677, 0.04659, 0.00139, 0.05891, 5424, 154, 5424, 59.00000, 254.00000
81, 0.00679, 0.05522, 0.00156, 0.06632, 5424, 147, 5422, 65.00000, 264.00000
82, 0.00807, 0.06323, 0.00155, 0.05710, 5424, 221, 5424, 59.00000, 228.00000
