Using BRISK algorithm
Using brute force matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
64, 0.04423, 0.63274, 0.00090, 0.00073, 5424, 1593, 42, 281.94858, 527.99335
65, 0.03322, 0.59714, 0.00167, 0.00118, 5424, 1502, 50, 290.35495, 607.55743
66, 0.02488, 0.61077, 0.00090, 0.00208, 5424, 1540, 60, 251.39412, 567.76758
67, 0.02582, 0.53481, 0.00090, 0.00130, 5424, 1347, 37, 321.31448, 593.81897
68, 0.01953, 0.45517, 0.00105, 0.00312, 5424, 1125, 32, 275.80972, 568.89105
69, 0.02116, 0.38022, 0.00116, 0.00206, 5424, 959, 22, 319.37125, 550.22632
70, 0.02063, 0.39818, 0.00116, 0.00241, 5424, 1005, 21, 375.53961, 546.95337
71, 0.01909, 0.42726, 0.00090, 0.00633, 5424, 1074, 30, 258.55560, 561.41693
72, 0.02055, 0.34850, 0.00089, 0.01516, 5424, 856, 26, 330.12421, 600.48395
73, 0.01938, 0.42290, 0.00089, 0.00352, 5424, 1067, 41, 279.53534, 560.63354
74, 0.02415, 0.46214, 0.00090, 0.00512, 5424, 1104, 37, 267.02435, 585.14355
75, 0.02183, 0.49828, 0.00089, 0.00111, 5424, 1261, 39, 330.09543, 564.61493
76, 0.01998, 0.45817, 0.00093, 0.00217, 5424, 1155, 41, 266.34189, 553.69305
77, 0.01499, 0.25068, 0.00089, 0.00001, 5424, 630, 6, 388.92029, 579.13556
78, 0.01844, 0.38498, 0.00088, 0.00934, 5424, 968, 18, 294.66422, 594.57971
79, 0.02633, 0.45928, 0.00090, 0.00104, 5424, 1163, 23, 315.43622, 563.20691
80, 0.01793, 0.40249, 0.00090, 0.00417, 5424, 1017, 18, 363.84338, 577.27722
81, 0.01936, 0.43899, 0.00093, 0.00181, 5424, 1110, 26, 330.05606, 534.80652
82, 0.01951, 0.44527, 0.00093, 0.00724, 5424, 1113, 34, 313.41986, 540.98981
83, 0.02457, 0.45691, 0.00089, 0.00758, 5424, 1146, 44, 304.27454, 549.39423
84, 0.02443, 0.54457, 0.00092, 0.00187, 5424, 1377, 39, 265.73859, 552.92316
85, 0.01870, 0.40922, 0.00145, 0.00908, 5424, 1022, 22, 365.92075, 566.44946
86, 0.02235, 0.48982, 0.00090, 0.00284, 5424, 1237, 48, 239.78949, 555.32422
87, 0.02520, 0.50333, 0.00090, 0.00390, 5424, 1256, 35, 302.34747, 525.38940
88, 0.02025, 0.42743, 0.00090, 0.00175, 5424, 1075, 45, 196.54007, 548.80322
89, 0.02500, 0.47168, 0.00090, 0.00286, 5424, 1189, 41, 267.27515, 552.10596
90, 0.02161, 0.46722, 0.00114, 0.00250, 5424, 1181, 35, 178.75122, 602.65662
91, 0.02174, 0.47627, 0.00089, 0.00356, 5424, 1200, 31, 283.98416, 539.29675
92, 0.01753, 0.35993, 0.00088, 0.01105, 5424, 907, 16, 341.06891, 552.14490
93, 0.01553, 0.26487, 0.00089, 0.00451, 5424, 667, 16, 378.44684, 563.03021
94, 0.02065, 0.48630, 0.00104, 0.00296, 5424, 1224, 32, 325.49808, 540.80682
95, 0.02843, 0.45706, 0.00093, 0.00218, 5424, 1162, 33, 263.90149, 560.90460
96, 0.02916, 0.47518, 0.00089, 0.00269, 5424, 1213, 19, 345.53726, 556.14026
97, 0.02014, 0.39840, 0.00088, 0.00777, 5424, 990, 27, 338.08875, 544.34546
98, 0.01622, 0.31942, 0.00089, 0.02260, 5424, 808, 38, 336.21124, 552.92316
99, 0.01970, 0.41260, 0.00092, 0.00753, 5424, 1024, 19, 346.68140, 583.78503
100, 0.01820, 0.39328, 0.00115, 0.00151, 5424, 994, 28, 350.98434, 568.49097
